name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classification,defense,experience_growth,height_m,hp,japanese_name,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,evolutions
Grimer,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,5120,70,325,190,Sludge Pokemon,50,1000000,,80,Betbeterベトベター,88,40,50,25,poison,poison,,1,0,"Grimer,Muk"
Muk,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,5120,70,500,75,Sludge Pokemon,75,1000000,,105,Betbetonベトベトン,89,65,100,50,poison,poison,,1,0,"Grimer,Muk"
Shellder,"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,305,190,Bivalve Pokemon,100,1250000,0.3,30,Shellderシェルダー,90,45,25,40,water,,4,1,0,"Shellder,Cloyster"
Cloyster,"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,95,5120,70,525,60,Bivalve Pokemon,180,1250000,1.5,50,Parshenパルシェン,91,85,45,70,water,ice,132.5,1,0,"Shellder,Cloyster"
Gastly,['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,35,5120,70,310,190,Gas Pokemon,30,1059860,1.3,30,Ghosゴース,92,100,35,80,ghost,poison,0.1,1,0,"Gastly,Haunter,Gengar"
Haunter,['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,405,90,Gas Pokemon,45,1059860,1.6,45,Ghostゴースト,93,115,55,95,ghost,poison,0.1,1,0,"Gastly,Haunter,Gengar"
Gengar,['Cursed Body'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,65,5120,70,600,45,Shadow Pokemon,80,1059860,1.5,60,Gangarゲンガー,94,170,95,130,ghost,poison,40.5,1,0,"Gastly,Haunter,Gengar"
Onix,"['Rock Head', 'Sturdy', 'Weak Armor']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,6400,70,385,45,Rock Snake Pokemon,160,1000000,8.8,35,Iwarkイワーク,95,30,45,70,rock,ground,210,1,0,Onix
Drowzee,"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,48,5120,70,328,190,Hypnosis Pokemon,45,1000000,1,60,Sleepeスリープ,96,43,90,42,psychic,,32.4,1,0,"Drowzee,Hypno"
Hypno,"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,73,5120,70,483,75,Hypnosis Pokemon,70,1000000,1.6,85,Sleeperスリーパー,97,73,115,67,psychic,,75.6,1,0,"Drowzee,Hypno"
Krabby,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,325,225,River Crab Pokemon,90,1000000,0.4,30,Crabクラブ,98,25,25,50,water,,6.5,1,0,"Krabby,Kingler"
Kingler,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,5120,70,475,60,Pincer Pokemon,115,1000000,1.3,55,Kinglerキングラー,99,50,50,75,water,,60,1,0,"Krabby,Kingler"
Voltorb,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,30,5120,70,330,190,Ball Pokemon,50,1000000,0.5,40,Biriridamaビリリダマ,100,55,55,100,electric,,10.4,1,0,"Voltorb,Electrode"
Electrode,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,490,60,Ball Pokemon,70,1000000,1.2,60,Marumineマルマイン,101,80,80,150,electric,,66.6,1,0,"Voltorb,Electrode"
Exeggcute,"['Chlorophyll', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,40,5120,70,325,90,Egg Pokemon,80,1250000,0.4,60,Tamatamaタマタマ,102,60,45,40,grass,psychic,2.5,1,0,"Exeggcute,Exeggutor"
Exeggutor,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,105,5120,70,530,45,Coconut Pokemon,85,1250000,,95,Nassyナッシー,103,125,75,45,grass,psychic,,1,0,"Exeggcute,Exeggutor"
Cubone,"['Rock Head', 'Lightningrod', 'Battle Armor']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,320,190,Lonely Pokemon,95,1000000,0.4,50,Karakaraカラカラ,104,40,50,35,ground,,6.5,1,0,"Cubone,Marowak"
Marowak,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,80,5120,70,425,75,Bone Keeper Pokemon,110,1000000,,60,Garagaraガラガラ,105,50,80,45,ground,fire,,1,0,"Cubone,Marowak"
Hitmonlee,"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,6400,70,455,45,Kicking Pokemon,53,1000000,1.5,50,Sawamularサワムラー,106,35,110,87,fighting,,49.8,1,0,"Hitmonlee,Hitmonchan"
Hitmonchan,"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,6400,70,455,45,Punching Pokemon,79,1000000,1.4,50,Ebiwalarエビワラー,107,35,110,76,fighting,,50.2,1,0,"Hitmonlee,Hitmonchan"
Lickitung,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,5120,70,385,45,Licking Pokemon,75,1000000,1.2,90,Beroringaベロリンガ,108,60,75,30,normal,,65.5,1,0,Lickitung
Koffing,['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,5120,70,340,190,Poison Gas Pokemon,95,1000000,0.6,40,Dogarsドガース,109,60,45,35,poison,,1,1,0,"Koffing,Weezing"
Weezing,['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,5120,70,490,60,Poison Gas Pokemon,120,1000000,1.2,65,Matadogasマタドガス,110,85,70,60,poison,,9.5,1,0,"Koffing,Weezing"
Rhyhorn,"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,85,5120,70,345,120,Spikes Pokemon,95,1250000,1,80,Sihornサイホーン,111,30,30,25,ground,rock,115,1,0,"Rhyhorn,Rhydon"
Rhydon,"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,130,5120,70,485,60,Drill Pokemon,120,1250000,1.9,105,Sidonサイドン,112,45,45,40,ground,rock,120,1,0,"Rhyhorn,Rhydon"
Chansey,"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,10240,140,450,30,Egg Pokemon,5,800000,1.1,250,Luckyラッキー,113,35,105,50,normal,,34.6,1,0,Chansey
Tangela,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,55,5120,70,435,45,Vine Pokemon,115,1000000,1,65,Monjaraモンジャラ,114,100,40,60,grass,,35,1,0,Tangela
Kangaskhan,"['Early Bird', 'Scrappy', 'Inner Focus']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,125,5120,70,590,45,Parent Pokemon,100,1000000,2.2,105,Garuraガルーラ,115,60,100,100,normal,,80,1,0,Kangaskhan
Horsea,"['Swift Swim', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,5120,70,295,225,Dragon Pokemon,70,1000000,0.4,30,Tattuタッツー,116,70,25,60,water,,8,1,0,"Horsea,Seadra"
Seadra,"['Poison Point', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,440,75,Dragon Pokemon,95,1000000,1.2,55,Seadraシードラ,117,95,45,85,water,,25,1,0,"Horsea,Seadra"
Goldeen,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,67,5120,70,320,225,Goldfish Pokemon,60,1000000,0.6,45,Tosakintoトサキント,118,35,50,63,water,,15,1,0,"Goldeen,Seaking"
Seaking,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,92,5120,70,450,60,Goldfish Pokemon,65,1000000,1.3,80,Azumaoアズマオウ,119,65,80,68,water,,39,1,0,"Goldeen,Seaking"
Staryu,"['Illuminate', 'Natural Cure', 'Analytic']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,340,225,Starshape Pokemon,55,1250000,0.8,30,Hitodemanヒトデマン,120,70,55,85,water,,34.5,1,0,"Staryu,Starmie"
Starmie,"['Illuminate', 'Natural Cure', 'Analytic']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,520,60,Mysterious Pokemon,85,1250000,1.1,60,Starmieスターミー,121,100,85,115,water,psychic,80,1,0,"Staryu,Starmie"
Mr. Mime,"['Soundproof', 'Filter', 'Technician']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,6400,70,460,45,Barrier Pokemon,65,1000000,1.3,40,Barrierdバリヤード,122,100,120,90,psychic,fairy,54.5,1,0,Mr. Mime
Scyther,"['Swarm', 'Technician', 'Steadfast']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,110,6400,70,500,45,Mantis Pokemon,80,1000000,1.5,70,Strikeストライク,123,55,80,105,bug,flying,56,1,0,Scyther
Jynx,"['Oblivious', 'Forewarn', 'Dry Skin']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,50,6400,70,455,45,Humanshape Pokemon,35,1000000,1.4,65,Rougelaルージュラ,124,115,95,95,ice,psychic,40.6,1,0,Jynx
Electabuzz,"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,83,6400,70,490,45,Electric Pokemon,57,1000000,1.1,65,Elebooエレブー,125,95,85,105,electric,,30,1,0,Electabuzz
Magmar,"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,95,6400,70,495,45,Spitfire Pokemon,57,1000000,1.3,65,Booberブーバー,126,100,85,93,fire,,44.5,1,0,Magmar
Pinsir,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,155,6400,70,600,45,Stagbeetle Pokemon,120,1250000,1.5,65,Kailiosカイロス,127,65,90,105,bug,,55,1,0,Pinsir
Tauros,"['Intimidate', 'Anger Point', 'Sheer Force']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,5120,70,490,45,Wild Bull Pokemon,95,1250000,1.4,75,Kentaurosケンタロス,128,40,70,110,normal,,88.4,1,0,Tauros
Magikarp,"['Swift Swim', 'Rattled']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,10,1280,70,200,255,Fish Pokemon,55,1250000,0.9,20,Koikingコイキング,129,15,20,80,water,,10,1,0,"Magikarp,Gyarados"
Gyarados,"['Intimidate', 'Moxie']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,155,1280,70,640,45,Atrocious Pokemon,109,1250000,6.5,95,Gyaradosギャラドス,130,70,130,81,water,flying,235,1,0,"Magikarp,Gyarados"
Lapras,"['Water Absorb', 'Shell Armor', 'Hydration']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,85,10240,70,535,45,Transport Pokemon,80,1250000,2.5,130,Laplaceラプラス,131,85,95,60,water,ice,220,1,0,Lapras
Ditto,"['Limber', 'Imposter']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,5120,70,288,35,Transform Pokemon,48,1000000,0.3,48,Metamonメタモン,132,48,48,48,normal,,4,1,0,Ditto
Eevee,"['Run Away', 'Adaptability', 'Anticipation']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,8960,70,325,45,Evolution Pokemon,50,1000000,0.3,55,Eievuiイーブイ,133,45,65,55,normal,,6.5,1,0,"Eevee,Vaporeon,Jolteon,Flareon"
Vaporeon,"['Water Absorb', 'Hydration']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,8960,70,525,45,Bubble Jet Pokemon,60,1000000,1,130,Showersシャワーズ,134,110,95,65,water,,29,1,0,"Eevee,Vaporeon,Jolteon,Flareon"
Jolteon,"['Volt Absorb', 'Quick Feet']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,8960,70,525,45,Lightning Pokemon,60,1000000,0.8,65,Thundersサンダース,135,110,95,130,electric,,24.5,1,0,"Eevee,Vaporeon,Jolteon,Flareon"
Flareon,"['Flash Fire', 'Guts']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,130,8960,70,525,45,Flame Pokemon,60,1000000,0.9,65,Boosterブースター,136,95,110,65,fire,,25,1,0,"Eevee,Vaporeon,Jolteon,Flareon"
Porygon,"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,395,45,Virtual Pokemon,70,1000000,0.8,65,Porygonポリゴン,137,85,75,40,normal,,36.5,1,0,Porygon
Omanyte,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,40,7680,70,355,45,Spiral Pokemon,100,1000000,0.4,35,Omniteオムナイト,138,90,55,35,rock,water,7.5,1,0,"Omanyte,Omastar"
Omastar,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,60,7680,70,495,45,Spiral Pokemon,125,1000000,1,70,Omstarオムスター,139,115,70,55,rock,water,35,1,0,"Omanyte,Omastar"
Kabuto,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,80,7680,70,355,45,Shellfish Pokemon,90,1000000,0.5,30,Kabutoカブト,140,55,45,55,rock,water,11.5,1,0,"Kabuto,Kabutops"
Kabutops,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,115,7680,70,495,45,Shellfish Pokemon,105,1000000,1.3,60,Kabutopsカブトプス,141,65,70,80,rock,water,40.5,1,0,"Kabuto,Kabutops"
Aerodactyl,"['Rock Head', 'Pressure', 'Unnerve']",0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,135,8960,70,615,45,Fossil Pokemon,85,1250000,1.8,80,Pteraプテラ,142,70,95,150,rock,flying,59,1,0,Aerodactyl
Snorlax,"['Immunity', 'Thick Fat', 'Gluttony']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,110,10240,70,540,25,Sleeping Pokemon,65,1250000,2.1,160,Kabigonカビゴン,143,65,110,30,normal,,460,1,0,Snorlax
Articuno,"['Pressure', 'Snow Cloak']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,85,20480,35,580,3,Freeze Pokemon,100,1250000,1.7,90,Freezerフリーザー,144,95,125,85,ice,flying,55.4,1,1,Articuno
Zapdos,"['Pressure', 'Static']",0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,90,20480,35,580,3,Electric Pokemon,85,1250000,1.6,90,Thunderサンダー,145,125,90,100,electric,flying,52.6,1,1,Zapdos
Moltres,"['Pressure', 'Flame Body']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,100,20480,35,580,3,Flame Pokemon,90,1250000,2,90,Fireファイヤー,146,125,85,90,fire,flying,60,1,1,Moltres
Dratini,"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,64,10240,35,300,45,Dragon Pokemon,45,1250000,1.8,41,Miniryuミニリュウ,147,50,50,50,dragon,,3.3,1,0,"Dratini,Dragonair,Dragonite"
Dragonair,"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,84,10240,35,420,45,Dragon Pokemon,65,1250000,4,61,Hakuryuハクリュー,148,70,70,70,dragon,,16.5,1,0,"Dratini,Dragonair,Dragonite"
Dragonite,"['Inner Focus', 'Multiscale']",0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,134,10240,35,600,45,Dragon Pokemon,95,1250000,2.2,91,Kairyuカイリュー,149,100,100,80,dragon,flying,210,1,0,"Dratini,Dragonair,Dragonite"
Mewtwo,"['Pressure', 'Unnerve']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,150,30720,0,780,3,Genetic Pokemon,70,1250000,2,106,Mewtwoミュウツー,150,194,120,140,psychic,,122,1,1,Mewtwo
Mew,['Synchronize'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,30720,100,600,45,New Species Pokemon,100,1059860,0.4,100,Mewミュウ,151,100,100,100,psychic,,4,1,1,Mew
